Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)     
96       5.27689363e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.72276671e-09    4.09084869e-09
97       5.28128816e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.72612495e-09    4.09275643e-09
98       5.28568269e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.72946273e-09    4.09464677e-09
99       5.29007722e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.73278012e-09    4.09651990e-09
100      5.29447176e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.73607721e-09    4.09837601e-09
101      5.29886629e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.73935411e-09    4.10021529e-09
102      5.30326082e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.74261090e-09    4.10203791e-09
103      5.30765535e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.74584767e-09    4.10384407e-09
104      5.31204988e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.74906452e-09    4.10563395e-09
105      5.31644441e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.75226153e-09    4.10740772e-09
106      5.32083894e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.75543881e-09    4.10916556e-09
107      5.32523347e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.75859643e-09    4.11090766e-09
108      5.32962801e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.76173450e-09    4.11263419e-09
109      5.33402254e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.76485311e-09    4.11434531e-09
110      5.33841707e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.76795235e-09    4.11604120e-09
111      5.34281160e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.77103231e-09    4.11772204e-09
112      5.34720613e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.77409310e-09    4.11938798e-09
113      5.35160066e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.77713479e-09    4.12103919e-09
114      5.35599519e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.78015749e-09    4.12267584e-09
115      5.36038972e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.78316128e-09    4.12429810e-09
116      5.36478426e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.78614627e-09    4.12590611e-09
117      5.36917879e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.78911255e-09    4.12750004e-09
118      5.37357332e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.79206020e-09    4.12908005e-09
119      5.37796785e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.79498933e-09    4.13064629e-09
120      5.38236238e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.79790003e-09    4.13219892e-09
121      5.38675691e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.80079239e-09    4.13373809e-09
122      5.39115144e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.80366650e-09    4.13526394e-09
123      5.39554597e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.80652246e-09    4.13677663e-09
124      5.39994051e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.80936036e-09    4.13827630e-09
125      5.40433504e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.81218030e-09    4.13976310e-09
126      5.40872957e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.81498237e-09    4.14123717e-09
127      5.41312410e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.81776666e-09    4.14269865e-09
128      5.41751863e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.82053326e-09    4.14414769e-09
129      5.42191316e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.82328228e-09    4.14558441e-09
130      5.42630769e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.82601379e-09    4.14700897e-09
131      5.43070222e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.82872790e-09    4.14842148e-09
132      5.43509676e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.83142470e-09    4.14982209e-09
133      5.43949129e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.83410427e-09    4.15121092e-09
134      5.44388582e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.83676672e-09    4.15258811e-09
135      5.44828035e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.83941213e-09    4.15395379e-09
136      5.45267488e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.84204060e-09    4.15530807e-09
137      5.45706941e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.84465221e-09    4.15665110e-09
138      5.46146394e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.84724706e-09    4.15798298e-09
139      5.46585847e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.84982524e-09    4.15930384e-09
140      5.47025301e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.85238685e-09    4.16061380e-09
141      5.47464754e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.85493197e-09    4.16191298e-09
142      5.47904207e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.85746068e-09    4.16320151e-09
143      5.48343660e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.85997310e-09    4.16447948e-09
144      5.48783113e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.86246929e-09    4.16574702e-09
