TIME,TIME,I(VDD),{-V(VDD)*I(VDD)}
5.33841707e-11,5.33841707e-11,-8.06370622e-04,9.67644747e-04
5.34281160e-11,5.34281160e-11,-8.03458713e-04,9.64150456e-04
5.34720613e-11,5.34720613e-11,-8.00566070e-04,9.60679284e-04
5.35160066e-11,5.35160066e-11,-7.97692392e-04,9.57230871e-04
5.35599519e-11,5.35599519e-11,-7.94837389e-04,9.53804866e-04
5.36038972e-11,5.36038972e-11,-7.92000771e-04,9.50400925e-04
5.36478426e-11,5.36478426e-11,-7.89182260e-04,9.47018712e-04
5.36917879e-11,5.36917879e-11,-7.86381580e-04,9.43657896e-04
5.37357332e-11,5.37357332e-11,-7.83598461e-04,9.40318154e-04
5.37796785e-11,5.37796785e-11,-7.80832640e-04,9.36999168e-04
5.38236238e-11,5.38236238e-11,-7.78083860e-04,9.33700632e-04
5.38675691e-11,5.38675691e-11,-7.75351865e-04,9.30422238e-04
5.39115144e-11,5.39115144e-11,-7.72636410e-04,9.27163692e-04
5.39554597e-11,5.39554597e-11,-7.69937252e-04,9.23924702e-04
5.39994051e-11,5.39994051e-11,-7.67254153e-04,9.20704984e-04
5.40433504e-11,5.40433504e-11,-7.64586881e-04,9.17504257e-04
5.40872957e-11,5.40872957e-11,-7.61935208e-04,9.14322250e-04
5.41312410e-11,5.41312410e-11,-7.59298912e-04,9.11158695e-04
5.41751863e-11,5.41751863e-11,-7.56677775e-04,9.08013330e-04
5.42191316e-11,5.42191316e-11,-7.54071582e-04,9.04885899e-04
5.42630769e-11,5.42630769e-11,-7.51480126e-04,9.01776151e-04
5.43070222e-11,5.43070222e-11,-7.48903200e-04,8.98683840e-04
5.43509676e-11,5.43509676e-11,-7.46340607e-04,8.95608728e-04
5.43949129e-11,5.43949129e-11,-7.43792147e-04,8.92550577e-04
5.44388582e-11,5.44388582e-11,-7.41257631e-04,8.89509158e-04
5.44828035e-11,5.44828035e-11,-7.38736870e-04,8.86484244e-04
5.45267488e-11,5.45267488e-11,-7.36229681e-04,8.83475617e-04
5.45706941e-11,5.45706941e-11,-7.33735882e-04,8.80483058e-04
5.46146394e-11,5.46146394e-11,-7.31255299e-04,8.77506358e-04
5.46585847e-11,5.46585847e-11,-7.28787758e-04,8.74545309e-04
5.47025301e-11,5.47025301e-11,-7.26333091e-04,8.71599709e-04
5.47464754e-11,5.47464754e-11,-7.23891132e-04,8.68669358e-04
5.47904207e-11,5.47904207e-11,-7.21461720e-04,8.65754064e-04
5.48343660e-11,5.48343660e-11,-7.19044697e-04,8.62853636e-04
5.48783113e-11,5.48783113e-11,-7.16639907e-04,8.59967888e-04
5.49222566e-11,5.49222566e-11,-7.14247199e-04,8.57096638e-04
5.49662019e-11,5.49662019e-11,-7.11866424e-04,8.54239709e-04
5.50101472e-11,5.50101472e-11,-7.09497437e-04,8.51396925e-04
5.50540926e-11,5.50540926e-11,-7.07140097e-04,8.48568116e-04
5.50980379e-11,5.50980379e-11,-7.04794263e-04,8.45753115e-04
5.51419832e-11,5.51419832e-11,-7.02459800e-04,8.42951760e-04
5.51859285e-11,5.51859285e-11,-7.00136573e-04,8.40163888e-04
5.52298738e-11,5.52298738e-11,-6.97824454e-04,8.37389345e-04
5.52738191e-11,5.52738191e-11,-6.95523313e-04,8.34627976e-04
5.53177644e-11,5.53177644e-11,-6.93233026e-04,8.31879632e-04
5.53617097e-11,5.53617097e-11,-6.90953471e-04,8.29144165e-04
5.54056551e-11,5.54056551e-11,-6.88684527e-04,8.26421433e-04
5.54496004e-11,5.54496004e-11,-6.86426078e-04,8.23711293e-04
5.54935457e-11,5.54935457e-11,-6.84178008e-04,8.21013610e-04
5.55374910e-11,5.55374910e-11,-6.81940206e-04,8.18328247e-04
5.55814363e-11,5.55814363e-11,-6.79712561e-04,8.15655073e-04
5.56253816e-11,5.56253816e-11,-6.77494965e-04,8.12993958e-04
5.56693269e-11,5.56693269e-11,-6.75287314e-04,8.10344777e-04
5.57132722e-11,5.57132722e-11,-6.73089503e-04,8.07707404e-04
5.57572176e-11,5.57572176e-11,-6.70901433e-04,8.05081720e-04
5.58011629e-11,5.58011629e-11,-6.68723004e-04,8.02467605e-04
5.58451082e-11,5.58451082e-11,-6.66554120e-04,7.99864944e-04
5.58890535e-11,5.58890535e-11,-6.64394684e-04,7.97273621e-04
5.59329988e-11,5.59329988e-11,-6.62244606e-04,7.94693528e-04
5.59769441e-11,5.59769441e-11,-6.60103794e-04,7.92124552e-04
5.60208894e-11,5.60208894e-11,-6.57972159e-04,7.89566590e-04
5.60648347e-11,5.60648347e-11,-6.55849613e-04,7.87019536e-04
5.61087801e-11,5.61087801e-11,-6.53736072e-04,7.84483287e-04
5.61527254e-11,5.61527254e-11,-6.51631453e-04,7.81957743e-04
5.61966707e-11,5.61966707e-11,-6.49535673e-04,7.79442807e-04
5.62406160e-11,5.62406160e-11,-6.47448651e-04,7.76938382e-04
5.62845613e-11,5.62845613e-11,-6.45370312e-04,7.74444374e-04
5.63285066e-11,5.63285066e-11,-6.43300575e-04,7.71960690e-04
5.63724519e-11,5.63724519e-11,-6.41239368e-04,7.69487242e-04
5.64163972e-11,5.64163972e-11,-6.39186616e-04,7.67023940e-04
5.64603426e-11,5.64603426e-11,-6.37142248e-04,7.64570697e-04
5.65042879e-11,5.65042879e-11,-6.35106191e-04,7.62127429e-04
5.65482332e-11,5.65482332e-11,-6.33078378e-04,7.59694053e-04
