Index       TIME              V(A)              V(B)             V(CIN)             V(D)              V(S)              V(C)             V(_04_)           V(_05_)           V(_01_)           V(_02_)           V(_03_)           V(_00_)     
45       5.45105146e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.54126175e-01    4.29594326e-09    1.28878296e-08    1.20000000e+00    1.20000000e+00    4.41554293e-06    1.19999999e+00    1.19999999e+00    1.49267728e-06
46       5.51094925e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.61313910e-01    4.29594313e-09    1.28878297e-08    1.20000000e+00    1.20000000e+00    4.95573645e-06    1.20000000e+00    1.20000000e+00    1.45470472e-06
47       5.57084704e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.68501645e-01    4.29594326e-09    1.28878296e-08    1.20000000e+00    1.20000000e+00    5.80068621e-06    1.19999999e+00    1.19999999e+00    1.42887679e-06
48       5.63074483e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.75689379e-01    4.29594313e-09    1.28878297e-08    1.20000000e+00    1.20000000e+00    7.26716088e-06    1.20000000e+00    1.20000000e+00    1.39565977e-06
49       5.69064262e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.82877114e-01    4.29594326e-09    1.28878296e-08    1.20000000e+00    1.20000000e+00    9.75524484e-05    1.19999999e+00    1.19999999e+00    1.36960885e-06
50       5.70091858e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.84110229e-01    4.29594324e-09    1.28878296e-08    1.20000000e+00    1.20000000e+00    1.88346676e-04    1.19999999e+00    1.20000000e+00    1.36397271e-06
51       5.72147049e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.86576459e-01    4.29594328e-09    1.28878297e-08    1.20000000e+00    1.20000000e+00    7.96704060e-04    1.20000000e+00    1.20000000e+00    1.35389394e-06
52       5.76257431e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.91508918e-01    4.29594315e-09    1.28878296e-08    1.20000000e+00    1.20000000e+00    2.21426316e-02    1.19999999e+00    1.20000000e+00    1.33522537e-06
53       5.76725576e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.92070691e-01    4.29594318e-09    1.28878296e-08    1.20000000e+00    1.20000000e+00    2.86260631e-02    1.19999999e+00    1.20000000e+00    1.33305301e-06
54       5.77193721e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.92632465e-01    4.29594321e-09    1.28878297e-08    1.20000000e+00    1.20000000e+00    3.61384175e-02    1.19999999e+00    1.20000000e+00    1.33090003e-06
55       5.78130011e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.93756013e-01    4.29594316e-09    1.28878296e-08    1.20000000e+00    1.20000000e+00    5.79611683e-02    1.19999999e+00    1.20000000e+00    1.32665764e-06
56       5.79066301e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.94879561e-01    4.29594322e-09    1.28878297e-08    1.20000000e+00    1.20000000e+00    9.07724691e-02    1.19999999e+00    1.20000000e+00    1.32244953e-06
57       5.80002591e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.96003109e-01    4.29594317e-09    1.28878296e-08    1.20000000e+00    1.20000000e+00    1.37987795e-01    1.19999999e+00    1.20000000e+00    1.31826089e-06
58       5.80938880e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.97126657e-01    4.29594322e-09    1.28878297e-08    1.20000000e+00    1.20000000e+00    2.03598556e-01    1.19999999e+00    1.20000000e+00    1.31409221e-06
59       5.81875170e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.98250204e-01    4.29594317e-09    1.28878297e-08    1.20000000e+00    1.20000000e+00    2.91851878e-01    1.19999999e+00    1.20000000e+00    1.30994334e-06
60       5.82811460e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.99373752e-01    4.29594322e-09    1.28878297e-08    1.20000000e+00    1.20000000e+00    4.07069791e-01    1.19999999e+00    1.20000000e+00    1.30581416e-06
61       5.83747750e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.00497300e-01    4.29676606e-09    1.28878297e-08    1.20000000e+00    1.20000000e+00    5.51658145e-01    1.19889009e+00    1.20000000e+00    1.30170454e-06
62       5.84684040e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.01620848e-01    4.31063345e-09    1.28878297e-08    1.20000000e+00    1.20000000e+00    7.03957594e-01    1.18249685e+00    1.20000000e+00    1.29761435e-06
63       5.85526701e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.02632041e-01    4.36072155e-09    1.28878297e-08    1.20000000e+00    1.20000000e+00    8.22624513e-01    1.14349922e+00    1.19999999e+00    1.29394971e-06
