TIME,TIME,I(VDD),{V(VDD)*I(VDD)},{-V(VDD)*I(VDD)}
5.45000000e-09,5.45000000e-09,-2.32581456e-12,-2.79097747e-12,2.79097747e-12
5.50000000e-09,5.50000000e-09,-2.32580555e-12,-2.79096667e-12,2.79096667e-12
5.55000000e-09,5.55000000e-09,-2.32581465e-12,-2.79097757e-12,2.79097757e-12
5.60000000e-09,5.60000000e-09,-2.32580547e-12,-2.79096657e-12,2.79096657e-12
5.65000000e-09,5.65000000e-09,-2.32581473e-12,-2.79097768e-12,2.79097768e-12
5.70000000e-09,5.70000000e-09,-2.32580539e-12,-2.79096646e-12,2.79096646e-12
5.75000000e-09,5.75000000e-09,-2.32581481e-12,-2.79097778e-12,2.79097778e-12
5.80000000e-09,5.80000000e-09,-2.32580530e-12,-2.79096636e-12,2.79096636e-12
5.85000000e-09,5.85000000e-09,-2.32581490e-12,-2.79097788e-12,2.79097788e-12
5.90000000e-09,5.90000000e-09,-2.32580522e-12,-2.79096626e-12,2.79096626e-12
5.95000000e-09,5.95000000e-09,-2.32581498e-12,-2.79097798e-12,2.79097798e-12
6.00000000e-09,6.00000000e-09,-2.32580514e-12,-2.79096616e-12,2.79096616e-12
6.05000000e-09,6.05000000e-09,-2.32581506e-12,-2.79097808e-12,2.79097808e-12
6.10000000e-09,6.10000000e-09,-2.32580505e-12,-2.79096606e-12,2.79096606e-12
6.15000000e-09,6.15000000e-09,-2.32581515e-12,-2.79097818e-12,2.79097818e-12
6.20000000e-09,6.20000000e-09,-2.32580497e-12,-2.79096596e-12,2.79096596e-12
6.25000000e-09,6.25000000e-09,-2.32581523e-12,-2.79097828e-12,2.79097828e-12
6.30000000e-09,6.30000000e-09,-2.32580489e-12,-2.79096586e-12,2.79096586e-12
6.35000000e-09,6.35000000e-09,-2.32581531e-12,-2.79097838e-12,2.79097838e-12
6.40000000e-09,6.40000000e-09,-2.32580480e-12,-2.79096576e-12,2.79096576e-12
6.45000000e-09,6.45000000e-09,-2.32581540e-12,-2.79097848e-12,2.79097848e-12
6.50000000e-09,6.50000000e-09,-2.32580472e-12,-2.79096566e-12,2.79096566e-12
6.55000000e-09,6.55000000e-09,-2.32581548e-12,-2.79097858e-12,2.79097858e-12
6.60000000e-09,6.60000000e-09,-2.32580463e-12,-2.79096556e-12,2.79096556e-12
6.65000000e-09,6.65000000e-09,-2.32581557e-12,-2.79097868e-12,2.79097868e-12
6.70000000e-09,6.70000000e-09,-2.32580455e-12,-2.79096546e-12,2.79096546e-12
6.75000000e-09,6.75000000e-09,-2.32581565e-12,-2.79097878e-12,2.79097878e-12
6.80000000e-09,6.80000000e-09,-2.32580447e-12,-2.79096536e-12,2.79096536e-12
6.85000000e-09,6.85000000e-09,-2.32581573e-12,-2.79097888e-12,2.79097888e-12
6.90000000e-09,6.90000000e-09,-2.32580438e-12,-2.79096526e-12,2.79096526e-12
6.95000000e-09,6.95000000e-09,-2.32581582e-12,-2.79097898e-12,2.79097898e-12
7.00000000e-09,7.00000000e-09,-2.32580430e-12,-2.79096516e-12,2.79096516e-12
7.05000000e-09,7.05000000e-09,-2.32581590e-12,-2.79097908e-12,2.79097908e-12
7.10000000e-09,7.10000000e-09,-2.32580422e-12,-2.79096506e-12,2.79096506e-12
7.15000000e-09,7.15000000e-09,-2.32581598e-12,-2.79097918e-12,2.79097918e-12
7.20000000e-09,7.20000000e-09,-2.32580413e-12,-2.79096496e-12,2.79096496e-12
7.25000000e-09,7.25000000e-09,-2.32581607e-12,-2.79097928e-12,2.79097928e-12
7.30000000e-09,7.30000000e-09,-2.32580405e-12,-2.79096486e-12,2.79096486e-12
7.35000000e-09,7.35000000e-09,-2.32581615e-12,-2.79097938e-12,2.79097938e-12
7.40000000e-09,7.40000000e-09,-2.32580397e-12,-2.79096476e-12,2.79096476e-12
7.45000000e-09,7.45000000e-09,-2.32581624e-12,-2.79097948e-12,2.79097948e-12
7.50000000e-09,7.50000000e-09,-2.32580388e-12,-2.79096466e-12,2.79096466e-12
7.55000000e-09,7.55000000e-09,-2.32581632e-12,-2.79097958e-12,2.79097958e-12
7.60000000e-09,7.60000000e-09,-2.32580380e-12,-2.79096456e-12,2.79096456e-12
7.65000000e-09,7.65000000e-09,-2.32581640e-12,-2.79097968e-12,2.79097968e-12
7.70000000e-09,7.70000000e-09,-2.32580371e-12,-2.79096446e-12,2.79096446e-12
