TIME,TIME,I(VDD),{V(VDD)*I(VDD)},{-V(VDD)*I(VDD)}
8.97306889e-09,8.97306889e-09,-1.89638744e-09,-2.27566492e-09,2.27566492e-09
9.17306889e-09,9.17306889e-09,-1.19765856e-09,-1.43719028e-09,1.43719028e-09
9.37306889e-09,9.37306889e-09,-1.47853552e-09,-1.77424263e-09,1.77424263e-09
9.57306889e-09,9.57306889e-09,-9.76656345e-10,-1.17198761e-09,1.17198761e-09
9.77306889e-09,9.77306889e-09,-1.18075157e-09,-1.41690188e-09,1.41690188e-09
9.97306889e-09,9.97306889e-09,-8.18587718e-10,-9.82305262e-10,9.82305262e-10
1.00000000e-08,1.00000000e-08,-9.53869569e-10,-1.14464348e-09,1.14464348e-09
1.00200000e-08,1.00200000e-08,-9.31181388e-10,-1.11741767e-09,1.11741767e-09
1.00600000e-08,1.00600000e-08,-9.05762098e-10,-1.08691452e-09,1.08691452e-09
1.01400000e-08,1.01400000e-08,-8.70771176e-10,-1.04492541e-09,1.04492541e-09
1.03000000e-08,1.03000000e-08,-8.13655426e-10,-9.76386511e-10,9.76386511e-10
1.05000000e-08,1.05000000e-08,-7.46362599e-10,-8.95635119e-10,8.95635119e-10
1.07000000e-08,1.07000000e-08,-6.90346972e-10,-8.28416367e-10,8.28416367e-10
1.09000000e-08,1.09000000e-08,-6.38271459e-10,-7.65925751e-10,7.65925751e-10
1.11000000e-08,1.11000000e-08,-5.94346729e-10,-7.13216075e-10,7.13216075e-10
1.13000000e-08,1.13000000e-08,-5.53247659e-10,-6.63897190e-10,6.63897190e-10
1.15000000e-08,1.15000000e-08,-5.18148851e-10,-6.21778621e-10,6.21778621e-10
1.17000000e-08,1.17000000e-08,-4.85161113e-10,-5.82193336e-10,5.82193336e-10
1.19000000e-08,1.19000000e-08,-4.56659701e-10,-5.47991641e-10,5.47991641e-10
1.20000000e-08,1.20000000e-08,-4.42681200e-10,-5.31217440e-10,5.31217440e-10
1.20200000e-08,1.20200000e-08,-4.40220481e-10,-5.28264578e-10,5.28264578e-10
1.20400000e-08,1.20400000e-08,-4.37676237e-10,-5.25211485e-10,5.25211485e-10
1.20800000e-08,1.20800000e-08,-4.32584085e-10,-5.19100902e-10,5.19100902e-10
1.21600000e-08,1.21600000e-08,-4.22640255e-10,-5.07168306e-10,5.07168306e-10
1.23200000e-08,1.23200000e-08,-4.03876842e-10,-4.84652211e-10,4.84652211e-10
1.25200000e-08,1.25200000e-08,-3.82286080e-10,-4.58743296e-10,4.58743296e-10
1.27200000e-08,1.27200000e-08,-3.62574951e-10,-4.35089941e-10,4.35089941e-10
1.29200000e-08,1.29200000e-08,-3.44511957e-10,-4.13414348e-10,4.13414348e-10
1.31200000e-08,1.31200000e-08,-3.27934691e-10,-3.93521629e-10,3.93521629e-10
1.33200000e-08,1.33200000e-08,-3.12670420e-10,-3.75204504e-10,3.75204504e-10
