TIME,TIME,I(VDD),{-V(VDD)*I(VDD)}
5.95704079e-12,5.95704079e-12,-4.46962804e-03,5.36355365e-03
5.96680641e-12,5.96680641e-12,-4.46747623e-03,5.36097147e-03
5.97657204e-12,5.97657204e-12,-4.46531684e-03,5.35838020e-03
5.98633766e-12,5.98633766e-12,-4.46314992e-03,5.35577990e-03
5.99610329e-12,5.99610329e-12,-4.46097551e-03,5.35317061e-03
6.00586891e-12,6.00586891e-12,-4.45879366e-03,5.35055239e-03
6.01563454e-12,6.01563454e-12,-4.45660440e-03,5.34792528e-03
6.02540016e-12,6.02540016e-12,-4.45440779e-03,5.34528935e-03
6.03516579e-12,6.03516579e-12,-4.45220386e-03,5.34264463e-03
6.04493141e-12,6.04493141e-12,-4.44999265e-03,5.33999118e-03
6.05469704e-12,6.05469704e-12,-4.44777421e-03,5.33732905e-03
6.06446266e-12,6.06446266e-12,-4.44554858e-03,5.33465829e-03
6.07422829e-12,6.07422829e-12,-4.44331579e-03,5.33197895e-03
6.08399391e-12,6.08399391e-12,-4.44107590e-03,5.32929108e-03
6.09375954e-12,6.09375954e-12,-4.43882893e-03,5.32659472e-03
6.11329079e-12,6.11329079e-12,-4.43431395e-03,5.32117674e-03
6.13282204e-12,6.13282204e-12,-4.42977116e-03,5.31572539e-03
6.15235329e-12,6.15235329e-12,-4.42520089e-03,5.31024107e-03
6.17188454e-12,6.17188454e-12,-4.42060344e-03,5.30472413e-03
6.19141579e-12,6.19141579e-12,-4.41597913e-03,5.29917495e-03
6.21094704e-12,6.21094704e-12,-4.41132825e-03,5.29359390e-03
6.23047829e-12,6.23047829e-12,-4.40665110e-03,5.28798132e-03
6.25000954e-12,6.25000954e-12,-4.40194798e-03,5.28233758e-03
6.26954079e-12,6.26954079e-12,-4.39721822e-03,5.27666186e-03
6.28907204e-12,6.28907204e-12,-4.39245940e-03,5.27095128e-03
6.30860329e-12,6.30860329e-12,-4.38767167e-03,5.26520601e-03
6.32813454e-12,6.32813454e-12,-4.38285535e-03,5.25942643e-03
6.34766579e-12,6.34766579e-12,-4.37801076e-03,5.25361291e-03
6.36719704e-12,6.36719704e-12,-4.37313819e-03,5.24776583e-03
6.38672829e-12,6.38672829e-12,-4.36823795e-03,5.24188554e-03
6.40625954e-12,6.40625954e-12,-4.36331035e-03,5.23597243e-03
6.42579079e-12,6.42579079e-12,-4.35835569e-03,5.23002683e-03
6.44532204e-12,6.44532204e-12,-4.35337426e-03,5.22404911e-03
6.46485329e-12,6.46485329e-12,-4.34836636e-03,5.21803963e-03
6.48438454e-12,6.48438454e-12,-4.34333227e-03,5.21199873e-03
6.50391579e-12,6.50391579e-12,-4.33827229e-03,5.20592675e-03
6.52344704e-12,6.52344704e-12,-4.33318671e-03,5.19982405e-03
6.54297829e-12,6.54297829e-12,-4.32807581e-03,5.19369097e-03
6.56250954e-12,6.56250954e-12,-4.32293986e-03,5.18752783e-03
6.58204079e-12,6.58204079e-12,-4.31777916e-03,5.18133499e-03
6.60157204e-12,6.60157204e-12,-4.31259397e-03,5.17511276e-03
6.62110329e-12,6.62110329e-12,-4.30738457e-03,5.16886148e-03
6.64063454e-12,6.64063454e-12,-4.30215123e-03,5.16258148e-03
6.66016579e-12,6.66016579e-12,-4.29689423e-03,5.15627308e-03
6.67969704e-12,6.67969704e-12,-4.29161384e-03,5.14993660e-03
6.69922829e-12,6.69922829e-12,-4.28631031e-03,5.14357237e-03
6.71875954e-12,6.71875954e-12,-4.28098392e-03,5.13718070e-03
6.73829079e-12,6.73829079e-12,-4.27563493e-03,5.13076191e-03
6.75782204e-12,6.75782204e-12,-4.27026359e-03,5.12431631e-03
6.77735329e-12,6.77735329e-12,-4.26487018e-03,5.11784421e-03
6.79688454e-12,6.79688454e-12,-4.25945494e-03,5.11134593e-03
6.81641579e-12,6.81641579e-12,-4.25401814e-03,5.10482177e-03
6.83594704e-12,6.83594704e-12,-4.24856002e-03,5.09827203e-03
6.85547829e-12,6.85547829e-12,-4.24308085e-03,5.09169702e-03
6.87500954e-12,6.87500954e-12,-4.23758087e-03,5.08509705e-03
6.89454079e-12,6.89454079e-12,-4.23206034e-03,5.07847240e-03
6.91407204e-12,6.91407204e-12,-4.22651950e-03,5.07182340e-03
6.93360329e-12,6.93360329e-12,-4.22095860e-03,5.06515032e-03
6.95313454e-12,6.95313454e-12,-4.21537789e-03,5.05845346e-03
6.97266579e-12,6.97266579e-12,-4.20977761e-03,5.05173313e-03
6.99219704e-12,6.99219704e-12,-4.20415801e-03,5.04498961e-03
7.01172829e-12,7.01172829e-12,-4.19851933e-03,5.03822320e-03
7.03125954e-12,7.03125954e-12,-4.19286182e-03,5.03143419e-03
7.05079079e-12,7.05079079e-12,-4.18718572e-03,5.02462286e-03
7.07032204e-12,7.07032204e-12,-4.18149126e-03,5.01778951e-03
7.08985329e-12,7.08985329e-12,-4.17577868e-03,5.01093442e-03
7.10938454e-12,7.10938454e-12,-4.17004823e-03,5.00405788e-03
7.12891579e-12,7.12891579e-12,-4.16430015e-03,4.99716018e-03
7.14844704e-12,7.14844704e-12,-4.15853466e-03,4.99024159e-03
7.16797829e-12,7.16797829e-12,-4.15275201e-03,4.98330241e-03
7.18750954e-12,7.18750954e-12,-4.14695243e-03,4.97634292e-03
7.20704079e-12,7.20704079e-12,-4.14113616e-03,4.96936339e-03
7.22657204e-12,7.22657204e-12,-4.13530342e-03,4.96236411e-03
7.24610329e-12,7.24610329e-12,-4.12945447e-03,4.95534536e-03
7.26563454e-12,7.26563454e-12,-4.12358952e-03,4.94830742e-03
7.28516579e-12,7.28516579e-12,-4.11770881e-03,4.94125057e-03
7.30469704e-12,7.30469704e-12,-4.11181257e-03,4.93417509e-03
7.32422829e-12,7.32422829e-12,-4.10590104e-03,4.92708125e-03
7.34375954e-12,7.34375954e-12,-4.09997444e-03,4.91996933e-03
7.36329079e-12,7.36329079e-12,-4.09403301e-03,4.91283961e-03
7.38282204e-12,7.38282204e-12,-4.08807698e-03,4.90569237e-03
7.40235329e-12,7.40235329e-12,-4.08210656e-03,4.89852788e-03
7.42188454e-12,7.42188454e-12,-4.07612201e-03,4.89134641e-03
7.44141579e-12,7.44141579e-12,-4.07012354e-03,4.88414824e-03
7.46094704e-12,7.46094704e-12,-4.06411138e-03,4.87693365e-03
7.48047829e-12,7.48047829e-12,-4.05808576e-03,4.86970291e-03
7.50000954e-12,7.50000954e-12,-4.05204691e-03,4.86245629e-03
7.51954079e-12,7.51954079e-12,-4.04599505e-03,4.85519406e-03
7.53907204e-12,7.53907204e-12,-4.03993042e-03,4.84791651e-03
7.55860329e-12,7.55860329e-12,-4.03385324e-03,4.84062389e-03
7.57813454e-12,7.57813454e-12,-4.02776374e-03,4.83331649e-03
7.59766579e-12,7.59766579e-12,-4.02166214e-03,4.82599457e-03
7.61719704e-12,7.61719704e-12,-4.01554867e-03,4.81865840e-03
7.63672829e-12,7.63672829e-12,-4.00942356e-03,4.81130827e-03
7.65625954e-12,7.65625954e-12,-4.00328703e-03,4.80394443e-03
7.67579079e-12,7.67579079e-12,-3.99713930e-03,4.79656716e-03
7.69532204e-12,7.69532204e-12,-3.99098061e-03,4.78917673e-03
7.71485329e-12,7.71485329e-12,-3.98481118e-03,4.78177341e-03
7.73438454e-12,7.73438454e-12,-3.97863122e-03,4.77435747e-03
7.75391579e-12,7.75391579e-12,-3.97244098e-03,4.76692918e-03
7.77344704e-12,7.77344704e-12,-3.96624067e-03,4.75948880e-03
7.79297829e-12,7.79297829e-12,-3.96003051e-03,4.75203661e-03
7.81250954e-12,7.81250954e-12,-3.95381073e-03,4.74457287e-03
7.83204079e-12,7.83204079e-12,-3.94758155e-03,4.73709786e-03
7.85157204e-12,7.85157204e-12,-3.94134320e-03,4.72961184e-03
7.87110329e-12,7.87110329e-12,-3.93509589e-03,4.72211507e-03
7.89063454e-12,7.89063454e-12,-3.92883986e-03,4.71460784e-03
7.91016579e-12,7.91016579e-12,-3.92257533e-03,4.70709039e-03
7.92969704e-12,7.92969704e-12,-3.91630251e-03,4.69956301e-03
7.94922829e-12,7.94922829e-12,-3.91002163e-03,4.69202596e-03
7.96875954e-12,7.96875954e-12,-3.90373291e-03,4.68447949e-03
7.98829079e-12,7.98829079e-12,-3.89743658e-03,4.67692389e-03
8.00782204e-12,8.00782204e-12,-3.89113284e-03,4.66935941e-03
8.02735329e-12,8.02735329e-12,-3.88482194e-03,4.66178632e-03
8.04688454e-12,8.04688454e-12,-3.87850408e-03,4.65420489e-03
8.06641579e-12,8.06641579e-12,-3.87217948e-03,4.64661538e-03
8.08594704e-12,8.08594704e-12,-3.86584837e-03,4.63901804e-03
8.10547829e-12,8.10547829e-12,-3.85951097e-03,4.63141316e-03
8.12500954e-12,8.12500954e-12,-3.85316749e-03,4.62380099e-03
8.14454079e-12,8.14454079e-12,-3.84681816e-03,4.61618179e-03
8.16407204e-12,8.16407204e-12,-3.84046319e-03,4.60855582e-03
8.18360329e-12,8.18360329e-12,-3.83410280e-03,4.60092336e-03
8.20313454e-12,8.20313454e-12,-3.82773721e-03,4.59328465e-03
8.22266579e-12,8.22266579e-12,-3.82136663e-03,4.58563996e-03
8.24219704e-12,8.24219704e-12,-3.81499129e-03,4.57798955e-03
8.26172829e-12,8.26172829e-12,-3.80861141e-03,4.57033369e-03
8.28125954e-12,8.28125954e-12,-3.80222719e-03,4.56267262e-03
8.30079079e-12,8.30079079e-12,-3.79583885e-03,4.55500662e-03
8.32032204e-12,8.32032204e-12,-3.78944661e-03,4.54733593e-03
8.33985329e-12,8.33985329e-12,-3.78305068e-03,4.53966082e-03
8.35938454e-12,8.35938454e-12,-3.77665128e-03,4.53198154e-03
8.37891579e-12,8.37891579e-12,-3.77024862e-03,4.52429835e-03
8.39844704e-12,8.39844704e-12,-3.76384292e-03,4.51661150e-03
8.41797829e-12,8.41797829e-12,-3.75743438e-03,4.50892126e-03
8.43750954e-12,8.43750954e-12,-3.75102322e-03,4.50122787e-03
8.45704079e-12,8.45704079e-12,-3.74460965e-03,4.49353159e-03
8.47657204e-12,8.47657204e-12,-3.73819389e-03,4.48583267e-03
8.49610329e-12,8.49610329e-12,-3.73177614e-03,4.47813136e-03
8.51563454e-12,8.51563454e-12,-3.72535660e-03,4.47042793e-03
8.53516579e-12,8.53516579e-12,-3.71893550e-03,4.46272261e-03
8.55469704e-12,8.55469704e-12,-3.71251304e-03,4.45501565e-03
8.57422829e-12,8.57422829e-12,-3.70608943e-03,4.44730732e-03
8.59375954e-12,8.59375954e-12,-3.69966487e-03,4.43959785e-03
8.61329079e-12,8.61329079e-12,-3.69323957e-03,4.43188749e-03
8.63282204e-12,8.63282204e-12,-3.68681374e-03,4.42417649e-03
