Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)           V(_0_)            V(_1_)            V(_2_)      
76       5.75465509e-08    0.00000000e+00    0.00000000e+00    5.65991317e-01    1.20000000e+00    1.20000000e+00    1.45944460e-09    1.18670895e+00    5.53518754e-09    1.19999999e+00
77       5.78035876e-08    0.00000000e+00    0.00000000e+00    5.85269072e-01    1.20000000e+00    1.20000000e+00    1.48431249e-09    1.17503746e+00    5.52054660e-09    1.19999999e+00
78       5.80606244e-08    0.00000000e+00    0.00000000e+00    6.04546828e-01    1.20000000e+00    1.20000000e+00    1.53642639e-09    1.15189278e+00    5.57252225e-09    1.19999999e+00
79       5.80939127e-08    0.00000000e+00    0.00000000e+00    6.07043454e-01    1.20000000e+00    1.20000000e+00    1.54656419e-09    1.14754470e+00    5.58804462e-09    1.19999999e+00
80       5.81604894e-08    0.00000000e+00    0.00000000e+00    6.12036705e-01    1.20000000e+00    1.20000000e+00    1.57030441e-09    1.13755533e+00    5.62974570e-09    1.19999999e+00
81       5.82270661e-08    0.00000000e+00    0.00000000e+00    6.17029957e-01    1.20000000e+00    1.20000000e+00    1.60289315e-09    1.12428919e+00    5.70259423e-09    1.19999999e+00
82       5.82936428e-08    0.00000000e+00    0.00000000e+00    6.22023208e-01    1.20000000e+00    1.20000000e+00    1.65024835e-09    1.10586019e+00    5.82885147e-09    1.19999999e+00
83       5.83602195e-08    0.00000000e+00    0.00000000e+00    6.27016460e-01    1.20000000e+00    1.20000000e+00    1.71948684e-09    1.08080629e+00    6.03207331e-09    1.19999999e+00
84       5.84267961e-08    0.00000000e+00    0.00000000e+00    6.32009711e-01    1.20000000e+00    1.20000000e+00    1.81674032e-09    1.04894193e+00    6.34012592e-09    1.19999999e+00
85       5.84933728e-08    0.00000000e+00    0.00000000e+00    6.37002963e-01    1.20000000e+00    1.20000000e+00    1.95042945e-09    1.01034499e+00    6.80165366e-09    1.19999999e+00
86       5.85599495e-08    0.00000000e+00    0.00000000e+00    6.41996214e-01    1.20000000e+00    1.20000000e+00    2.13454518e-09    9.65074341e-01    7.51003298e-09    1.19999999e+00
87       5.86265262e-08    0.00000000e+00    0.00000000e+00    6.46989465e-01    1.20000000e+00    1.20000000e+00    2.39288550e-09    9.13173027e-01    8.66041713e-09    1.19999999e+00
88       5.86931029e-08    0.00000000e+00    0.00000000e+00    6.51982717e-01    1.20000000e+00    1.20000000e+00    2.76922319e-09    8.54628463e-01    1.07266956e-08    1.19999999e+00
89       5.87596796e-08    0.00000000e+00    0.00000000e+00    6.56975968e-01    1.20000000e+00    1.20000000e+00    3.35250499e-09    7.89321189e-01    1.91347795e-02    1.19999999e+00
90       5.87656566e-08    0.00000000e+00    0.00000000e+00    6.57424247e-01    1.20000000e+00    1.20000000e+00    3.42025765e-09    7.83090876e-01    2.34482421e-02    1.19999999e+00
91       5.87776107e-08    0.00000000e+00    0.00000000e+00    6.58320803e-01    1.20000000e+00    1.20000000e+00    3.56400029e-09    7.70508581e-01    3.42849610e-02    1.19999999e+00
92       5.87895648e-08    0.00000000e+00    0.00000000e+00    6.59217359e-01    1.20000000e+00    1.20000000e+00    3.72456082e-09    7.57686375e-01    5.02688218e-02    1.19999999e+00
93       5.88015189e-08    0.00000000e+00    0.00000000e+00    6.60113916e-01    1.20000000e+00    1.20000000e+00    3.90342932e-09    7.44622500e-01    7.32352265e-02    1.19999999e+00
94       5.88134730e-08    0.00000000e+00    0.00000000e+00    6.61010472e-01    1.20000000e+00    1.20000000e+00    4.10337914e-09    7.31308119e-01    1.04916334e-01    1.19999999e+00
95       5.88254270e-08    0.00000000e+00    0.00000000e+00    6.61907029e-01    1.20000000e+00    1.20000000e+00    4.32811194e-09    7.17734110e-01    1.46183710e-01    1.19999999e+00
