Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)           V(_0_)            V(_1_)      
76       3.60408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.32490483e-01    2.54299768e-09    4.00311527e-10    1.20000000e+00    1.20000000e+00
77       3.65408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.38490483e-01    7.91658205e-10    4.00311528e-10    1.20000000e+00    1.20000000e+00
78       3.70408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.44490483e-01    2.29721830e-09    4.00311528e-10    1.20000000e+00    1.20000000e+00
79       3.75408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.50490483e-01    1.00294546e-09    4.00311528e-10    1.20000000e+00    1.20000000e+00
80       3.80408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.56490483e-01    2.11558259e-09    4.00311528e-10    1.20000000e+00    1.20000000e+00
81       3.85408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.62490483e-01    1.15909066e-09    4.00311528e-10    1.20000000e+00    1.20000000e+00
82       3.90408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.68490483e-01    1.98135051e-09    4.00311528e-10    1.20000000e+00    1.20000000e+00
83       3.95408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.74490483e-01    1.27448486e-09    4.00311528e-10    1.20000000e+00    1.20000000e+00
84       4.00408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.80490483e-01    1.88215049e-09    4.00311528e-10    1.20000000e+00    1.20000000e+00
85       4.05408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.86490483e-01    1.35976349e-09    4.00311528e-10    1.20000000e+00    1.20000000e+00
86       4.10408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.92490483e-01    1.80883973e-09    4.00311528e-10    1.20000000e+00    1.20000000e+00
87       4.15408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.98490483e-01    1.42278590e-09    4.00311528e-10    1.20000000e+00    1.20000000e+00
88       4.20408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.04490483e-01    1.75466628e-09    4.00320893e-10    1.20000000e+00    1.19997575e+00
89       4.25408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.10490483e-01    1.46951464e-09    4.00378127e-10    1.20000000e+00    1.19984216e+00
90       4.30408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.16490483e-01    1.71491489e-09    4.00527256e-10    1.20000000e+00    1.19952632e+00
91       4.35408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.22490483e-01    1.50476028e-09    4.00785232e-10    1.20000000e+00    1.19900261e+00
92       4.40408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.28490483e-01    1.68654291e-09    4.01161370e-10    1.20000000e+00    1.19825410e+00
93       4.45408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.34490483e-01    1.53195554e-09    4.01670688e-10    1.20000000e+00    1.19726579e+00
94       4.50408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.40490483e-01    1.66702559e-09    4.02329068e-10    1.20000000e+00    1.19601912e+00
95       4.55408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.46490483e-01    1.55365032e-09    4.03157151e-10    1.20000000e+00    1.19449303e+00
96       4.60408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.52490483e-01    1.65450446e-09    4.04179751e-10    1.20000000e+00    1.19266088e+00
97       4.65408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.58490483e-01    1.57183896e-09    4.05428219e-10    1.20000000e+00    1.19049078e+00
98       4.70408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.64490483e-01    1.64776152e-09    4.06943221e-10    1.20000000e+00    1.18794246e+00
99       4.75408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.70490483e-01    1.58817592e-09    4.08776892e-10    1.20000000e+00    1.18496588e+00
100      4.80408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.76490483e-01    1.64614677e-09    4.11000192e-10    1.20000000e+00    1.18149668e+00
101      4.85408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.82490483e-01    1.60420069e-09    4.13710472e-10    1.20000000e+00    1.17745168e+00
102      4.90408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.88490483e-01    1.64961338e-09    4.17048045e-10    1.20000000e+00    1.17272010e+00
103      4.95408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.94490483e-01    1.62147660e-09    4.21222671e-10    1.20000000e+00    1.16715140e+00
104      5.00408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.00490483e-01    1.65913030e-09    4.26572205e-10    1.20000000e+00    1.16053283e+00
105      5.05408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.06490483e-01    1.64280390e-09    4.33680368e-10    1.20000000e+00    1.15255290e+00
106      5.10408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.12490483e-01    1.67684175e-09    4.43682159e-10    1.20000000e+00    1.14273080e+00
107      5.15408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.18490483e-01    1.67321242e-09    4.59044593e-10    1.20000000e+00    1.13026914e+00
108      5.20408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.24490483e-01    1.70976674e-09    4.83172550e-10    1.20000000e+00    1.11374244e+00
109      5.25408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.30490483e-01    1.72519204e-09    5.19609068e-10    1.20000000e+00    1.09162850e+00
110      5.30408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.36490483e-01    1.77732186e-09    5.73366152e-10    1.20000000e+00    1.06336452e+00
111      5.35408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.42490483e-01    1.82254678e-09    6.53703559e-10    1.20000000e+00    1.02902056e+00
112      5.40408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.48490483e-01    1.90508062e-09    7.78881381e-10    1.20000000e+00    9.88650421e-01
113      5.45408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.54490483e-01    1.99716603e-09    9.89279070e-10    1.20000000e+00    9.42277282e-01
114      5.50408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.60490483e-01    2.13953840e-09    2.90870865e-03    1.20000000e+00    8.89867409e-01
115      5.55408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.66490483e-01    2.32544265e-09    5.45761809e-02    1.20000000e+00    8.31270076e-01
116      5.60408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.72490483e-01    2.61339777e-09    2.71897280e-01    1.20000000e+00    7.66069253e-01
117      5.65408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.78490483e-01    5.85904130e-05    8.06491040e-01    1.20000000e+00    6.93137987e-01
118      5.69908736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.83890483e-01    8.55477426e-03    1.17966961e+00    1.20000000e+00    6.18094484e-01
119      5.73958736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.88750483e-01    5.09148788e-02    1.20565914e+00    1.20000000e+00    5.34691699e-01
120      5.77584680e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.93101616e-01    1.70677340e-01    1.19807750e+00    1.20000000e+00    4.27857718e-01
121      5.81210624e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.97452748e-01    4.75865006e-01    1.20073615e+00    1.20000000e+00    2.85172707e-01
122      5.84836568e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.01803881e-01    9.96073162e-01    1.19970268e+00    1.20000000e+00    1.32489505e-01
123      5.85435902e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.02523082e-01    1.06834093e+00    1.19983396e+00    1.20000000e+00    1.10491196e-01
124      5.86634570e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.03961484e-01    1.16252052e+00    1.19998060e+00    1.20000000e+00    7.28196211e-02
125      5.87833238e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.05399885e-01    1.18939466e+00    1.19999774e+00    1.20000000e+00    4.68202906e-02
126      5.89031905e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.06838287e-01    1.19557618e+00    1.19999974e+00    1.20000000e+00    3.00938710e-02
127      5.91429241e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.09715090e-01    1.19818552e+00    1.20000006e+00    1.20000000e+00    1.30190681e-02
128      5.93826577e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.12591893e-01    1.19865502e+00    1.19999999e+00    1.20000000e+00    7.22679885e-03
129      5.98621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.18345499e-01    1.19934451e+00    1.20000001e+00    1.20000000e+00    3.73680931e-03
130      6.03621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.24345499e-01    1.19957279e+00    1.20000000e+00    1.20000000e+00    2.81974362e-03
131      6.08621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.30345499e-01    1.19972749e+00    1.20000000e+00    1.20000000e+00    2.11193497e-03
132      6.13621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.36345499e-01    1.19979478e+00    1.20000000e+00    1.20000000e+00    1.64876495e-03
133      6.18621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.42345499e-01    1.19984969e+00    1.20000000e+00    1.20000000e+00    1.31557906e-03
134      6.23621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.48345499e-01    1.19987976e+00    1.20000000e+00    1.20000000e+00    1.07333177e-03
135      6.28621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.54345499e-01    1.19990473e+00    1.20000000e+00    1.20000000e+00    8.88827653e-04
136      6.33621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.60345499e-01    1.19992094e+00    1.20000000e+00    1.20000000e+00    7.47737467e-04
137      6.38621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.66345499e-01    1.19993429e+00    1.20000000e+00    1.20000000e+00    6.35614096e-04
138      6.43621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.72345499e-01    1.19994399e+00    1.20000000e+00    1.20000000e+00    5.46786096e-04
139      6.48621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.78345499e-01    1.19995198e+00    1.20000000e+00    1.20000000e+00    4.73990381e-04
140      6.53621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.84345499e-01    1.19995822e+00    1.20000000e+00    1.20000000e+00    4.14746722e-04
141      6.58621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.90345499e-01    1.19996340e+00    1.20000000e+00    1.20000000e+00    3.65062059e-04
142      6.63621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.96345499e-01    1.19996762e+00    1.20000000e+00    1.20000000e+00    3.23753795e-04
143      6.68621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.02345499e-01    1.19997118e+00    1.20000000e+00    1.20000000e+00    2.88485663e-04
144      6.73621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.08345499e-01    1.19997417e+00    1.20000000e+00    1.20000000e+00    2.58646328e-04
145      6.78621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.14345499e-01    1.19997672e+00    1.20000000e+00    1.20000000e+00    2.32805144e-04
146      6.83621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.20345499e-01    1.19997891e+00    1.20000000e+00    1.20000000e+00    2.10619910e-04
147      6.88621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.26345499e-01    1.19998080e+00    1.20000000e+00    1.20000000e+00    1.91183371e-04
148      6.93621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.32345499e-01    1.19998245e+00    1.20000000e+00    1.20000000e+00    1.74288478e-04
149      6.98621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.38345499e-01    1.19998390e+00    1.20000000e+00    1.20000000e+00    1.59343507e-04
150      7.03621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.44345499e-01    1.19998517e+00    1.20000000e+00    1.20000000e+00    1.46213658e-04
151      7.08621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.50345499e-01    1.19998630e+00    1.20000000e+00    1.20000000e+00    1.34504182e-04
152      7.13621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.56345499e-01    1.19998731e+00    1.20000000e+00    1.20000000e+00    1.24121581e-04
153      7.18621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.62345499e-01    1.19998820e+00    1.20000000e+00    1.20000000e+00    1.14796676e-04
154      7.23621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.68345499e-01    1.19998901e+00    1.20000000e+00    1.20000000e+00    1.06461615e-04
155      7.28621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.74345499e-01    1.19998974e+00    1.20000000e+00    1.20000000e+00    9.89295299e-05
156      7.33621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.80345499e-01    1.19999039e+00    1.20000000e+00    1.20000000e+00    9.21491632e-05
157      7.38621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.86345499e-01    1.19999099e+00    1.20000000e+00    1.20000000e+00    8.59886270e-05
158      7.43621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.92345499e-01    1.19999153e+00    1.20000000e+00    1.20000000e+00    8.04081167e-05
159      7.48621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.98345499e-01    1.19999202e+00    1.20000000e+00    1.20000000e+00    7.53130903e-05
160      7.53621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.04345499e-01    1.19999248e+00    1.20000000e+00    1.20000000e+00    7.06720261e-05
161      7.58621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.10345499e-01    1.19999289e+00    1.20000000e+00    1.20000000e+00    6.64161521e-05
162      7.63621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.16345499e-01    1.19999327e+00    1.20000000e+00    1.20000000e+00    6.25201550e-05
163      7.68621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.22345499e-01    1.19999362e+00    1.20000000e+00    1.20000000e+00    5.89333077e-05
164      7.73621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.28345499e-01    1.19999395e+00    1.20000000e+00    1.20000000e+00    5.56350740e-05
165      7.78621249e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.34345499e-01    1.19999425e+00    1.20000000e+00    1.20000000e+00    5.25875380e-05
