Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)              V(C)       
127      6.31000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
128      6.36000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
129      6.41000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
130      6.46000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
131      6.51000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
132      6.56000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
133      6.61000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
134      6.66000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
135      6.71000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
136      6.76000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
137      6.81000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
138      6.86000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
139      6.91000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
140      6.96000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
141      7.01000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
142      7.06000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
143      7.11000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
144      7.16000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
145      7.21000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
146      7.26000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
147      7.31000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
148      7.36000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
149      7.41000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
150      7.46000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
151      7.51000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
152      7.56000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
153      7.61000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
154      7.66000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
155      7.71000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
156      7.76000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
