TIME,TIME,I(VDD),{-V(VDD)*I(VDD)}
5.51000000e-09,5.51000000e-09,-3.02285174e-11,3.62742209e-11
5.56000000e-09,5.56000000e-09,-3.02285174e-11,3.62742209e-11
5.61000000e-09,5.61000000e-09,-3.02285174e-11,3.62742209e-11
5.66000000e-09,5.66000000e-09,-3.02285174e-11,3.62742209e-11
5.71000000e-09,5.71000000e-09,-3.02285174e-11,3.62742209e-11
5.76000000e-09,5.76000000e-09,-3.02285174e-11,3.62742209e-11
5.81000000e-09,5.81000000e-09,-3.02285174e-11,3.62742209e-11
5.86000000e-09,5.86000000e-09,-3.02285174e-11,3.62742209e-11
5.91000000e-09,5.91000000e-09,-3.02285174e-11,3.62742209e-11
5.96000000e-09,5.96000000e-09,-3.02285174e-11,3.62742209e-11
6.01000000e-09,6.01000000e-09,-3.02285174e-11,3.62742209e-11
6.06000000e-09,6.06000000e-09,-3.02285174e-11,3.62742209e-11
6.11000000e-09,6.11000000e-09,-3.02285174e-11,3.62742209e-11
6.16000000e-09,6.16000000e-09,-3.02285174e-11,3.62742209e-11
6.21000000e-09,6.21000000e-09,-3.02285174e-11,3.62742209e-11
6.26000000e-09,6.26000000e-09,-3.02285174e-11,3.62742209e-11
6.31000000e-09,6.31000000e-09,-3.02285174e-11,3.62742209e-11
6.36000000e-09,6.36000000e-09,-3.02285174e-11,3.62742209e-11
6.41000000e-09,6.41000000e-09,-3.02285174e-11,3.62742209e-11
6.46000000e-09,6.46000000e-09,-3.02285174e-11,3.62742209e-11
6.51000000e-09,6.51000000e-09,-3.02285174e-11,3.62742209e-11
6.56000000e-09,6.56000000e-09,-3.02285174e-11,3.62742209e-11
6.61000000e-09,6.61000000e-09,-3.02285174e-11,3.62742209e-11
6.66000000e-09,6.66000000e-09,-3.02285174e-11,3.62742209e-11
6.71000000e-09,6.71000000e-09,-3.02285174e-11,3.62742209e-11
6.76000000e-09,6.76000000e-09,-3.02285174e-11,3.62742209e-11
6.81000000e-09,6.81000000e-09,-3.02285174e-11,3.62742209e-11
6.86000000e-09,6.86000000e-09,-3.02285174e-11,3.62742209e-11
6.91000000e-09,6.91000000e-09,-3.02285174e-11,3.62742209e-11
6.96000000e-09,6.96000000e-09,-3.02285174e-11,3.62742209e-11
7.01000000e-09,7.01000000e-09,-3.02285174e-11,3.62742209e-11
7.06000000e-09,7.06000000e-09,-3.02285174e-11,3.62742209e-11
7.11000000e-09,7.11000000e-09,-3.02285174e-11,3.62742209e-11
7.16000000e-09,7.16000000e-09,-3.02285174e-11,3.62742209e-11
7.21000000e-09,7.21000000e-09,-3.02285174e-11,3.62742209e-11
7.26000000e-09,7.26000000e-09,-3.02285174e-11,3.62742209e-11
7.31000000e-09,7.31000000e-09,-3.02285174e-11,3.62742209e-11
7.36000000e-09,7.36000000e-09,-3.02285174e-11,3.62742209e-11
7.41000000e-09,7.41000000e-09,-3.02285174e-11,3.62742209e-11
7.46000000e-09,7.46000000e-09,-3.02285174e-11,3.62742209e-11
7.51000000e-09,7.51000000e-09,-3.02285174e-11,3.62742209e-11
7.56000000e-09,7.56000000e-09,-3.02285174e-11,3.62742209e-11
7.61000000e-09,7.61000000e-09,-3.02285174e-11,3.62742209e-11
7.66000000e-09,7.66000000e-09,-3.02285174e-11,3.62742209e-11
7.71000000e-09,7.71000000e-09,-3.02285174e-11,3.62742209e-11
7.76000000e-09,7.76000000e-09,-3.02285174e-11,3.62742209e-11
7.81000000e-09,7.81000000e-09,-3.02285174e-11,3.62742209e-11
7.86000000e-09,7.86000000e-09,-3.02285174e-11,3.62742209e-11
7.91000000e-09,7.91000000e-09,-3.02285174e-11,3.62742209e-11
7.96000000e-09,7.96000000e-09,-3.02285174e-11,3.62742209e-11
8.01000000e-09,8.01000000e-09,-3.02285174e-11,3.62742209e-11
8.06000000e-09,8.06000000e-09,-3.02285174e-11,3.62742209e-11
8.11000000e-09,8.11000000e-09,-3.02285174e-11,3.62742209e-11
8.16000000e-09,8.16000000e-09,-3.02285174e-11,3.62742209e-11
8.21000000e-09,8.21000000e-09,-3.02285174e-11,3.62742209e-11
8.26000000e-09,8.26000000e-09,-3.02285174e-11,3.62742209e-11
8.31000000e-09,8.31000000e-09,-3.02285174e-11,3.62742209e-11
8.36000000e-09,8.36000000e-09,-3.02285174e-11,3.62742209e-11
8.41000000e-09,8.41000000e-09,-3.02285174e-11,3.62742209e-11
8.46000000e-09,8.46000000e-09,-3.02285174e-11,3.62742209e-11
8.51000000e-09,8.51000000e-09,-3.02285174e-11,3.62742209e-11
8.56000000e-09,8.56000000e-09,-3.02285174e-11,3.62742209e-11
8.61000000e-09,8.61000000e-09,-3.02285174e-11,3.62742209e-11
8.66000000e-09,8.66000000e-09,-3.02285174e-11,3.62742209e-11
8.71000000e-09,8.71000000e-09,-3.02285174e-11,3.62742209e-11
8.76000000e-09,8.76000000e-09,-3.02285174e-11,3.62742209e-11
8.81000000e-09,8.81000000e-09,-3.02285174e-11,3.62742209e-11
8.86000000e-09,8.86000000e-09,-3.02285174e-11,3.62742209e-11
8.91000000e-09,8.91000000e-09,-3.02285174e-11,3.62742209e-11
8.96000000e-09,8.96000000e-09,-3.02285174e-11,3.62742209e-11
9.01000000e-09,9.01000000e-09,-3.02285174e-11,3.62742209e-11
9.06000000e-09,9.06000000e-09,-3.02285174e-11,3.62742209e-11
9.11000000e-09,9.11000000e-09,-3.02285174e-11,3.62742209e-11
9.16000000e-09,9.16000000e-09,-3.02285174e-11,3.62742209e-11
9.21000000e-09,9.21000000e-09,-3.02285174e-11,3.62742209e-11
9.26000000e-09,9.26000000e-09,-3.02285174e-11,3.62742209e-11
9.31000000e-09,9.31000000e-09,-3.02285174e-11,3.62742209e-11
9.36000000e-09,9.36000000e-09,-3.02285174e-11,3.62742209e-11
9.41000000e-09,9.41000000e-09,-3.02285174e-11,3.62742209e-11
9.46000000e-09,9.46000000e-09,-3.02285174e-11,3.62742209e-11
9.51000000e-09,9.51000000e-09,-3.02285174e-11,3.62742209e-11
9.56000000e-09,9.56000000e-09,-3.02285174e-11,3.62742209e-11
9.61000000e-09,9.61000000e-09,-3.02285174e-11,3.62742209e-11
9.66000000e-09,9.66000000e-09,-3.02285174e-11,3.62742209e-11
9.71000000e-09,9.71000000e-09,-3.02285174e-11,3.62742209e-11
9.76000000e-09,9.76000000e-09,-3.02285174e-11,3.62742209e-11
9.81000000e-09,9.81000000e-09,-3.02285174e-11,3.62742209e-11
9.86000000e-09,9.86000000e-09,-3.02285174e-11,3.62742209e-11
9.91000000e-09,9.91000000e-09,-3.02285174e-11,3.62742209e-11
9.96000000e-09,9.96000000e-09,-3.02285174e-11,3.62742209e-11
1.00100000e-08,1.00100000e-08,-3.02285174e-11,3.62742209e-11
1.00600000e-08,1.00600000e-08,-3.02285174e-11,3.62742209e-11
1.01100000e-08,1.01100000e-08,-3.02285174e-11,3.62742209e-11
1.01600000e-08,1.01600000e-08,-3.02285174e-11,3.62742209e-11
1.02100000e-08,1.02100000e-08,-3.02285174e-11,3.62742209e-11
1.02600000e-08,1.02600000e-08,-3.02285174e-11,3.62742209e-11
1.03100000e-08,1.03100000e-08,-3.02285174e-11,3.62742209e-11
1.03600000e-08,1.03600000e-08,-3.02285174e-11,3.62742209e-11
1.04100000e-08,1.04100000e-08,-3.02285174e-11,3.62742209e-11
1.04600000e-08,1.04600000e-08,-3.02285174e-11,3.62742209e-11
1.05100000e-08,1.05100000e-08,-3.02285174e-11,3.62742209e-11
1.05600000e-08,1.05600000e-08,-3.02285174e-11,3.62742209e-11
1.06100000e-08,1.06100000e-08,-3.02285174e-11,3.62742209e-11
1.06600000e-08,1.06600000e-08,-3.02285174e-11,3.62742209e-11
1.07100000e-08,1.07100000e-08,-3.02285174e-11,3.62742209e-11
1.07600000e-08,1.07600000e-08,-3.02285174e-11,3.62742209e-11
1.08100000e-08,1.08100000e-08,-3.02285174e-11,3.62742209e-11
1.08600000e-08,1.08600000e-08,-3.02285174e-11,3.62742209e-11
1.09100000e-08,1.09100000e-08,-3.02285174e-11,3.62742209e-11
1.09600000e-08,1.09600000e-08,-3.02285174e-11,3.62742209e-11
1.10100000e-08,1.10100000e-08,-3.02285174e-11,3.62742209e-11
1.10600000e-08,1.10600000e-08,-3.02285174e-11,3.62742209e-11
1.11100000e-08,1.11100000e-08,-3.02285174e-11,3.62742209e-11
1.11600000e-08,1.11600000e-08,-3.02285174e-11,3.62742209e-11
1.12100000e-08,1.12100000e-08,-3.02285174e-11,3.62742209e-11
1.12600000e-08,1.12600000e-08,-3.02285174e-11,3.62742209e-11
1.13100000e-08,1.13100000e-08,-3.02285174e-11,3.62742209e-11
1.13600000e-08,1.13600000e-08,-3.02285174e-11,3.62742209e-11
1.14100000e-08,1.14100000e-08,-3.02285174e-11,3.62742209e-11
1.14600000e-08,1.14600000e-08,-3.02285174e-11,3.62742209e-11
1.15100000e-08,1.15100000e-08,-3.02285174e-11,3.62742209e-11
1.15600000e-08,1.15600000e-08,-3.02285174e-11,3.62742209e-11
1.16100000e-08,1.16100000e-08,-3.02285174e-11,3.62742209e-11
1.16600000e-08,1.16600000e-08,-3.02285174e-11,3.62742209e-11
1.17100000e-08,1.17100000e-08,-3.02285174e-11,3.62742209e-11
1.17600000e-08,1.17600000e-08,-3.02285174e-11,3.62742209e-11
1.18100000e-08,1.18100000e-08,-3.02285174e-11,3.62742209e-11
1.18600000e-08,1.18600000e-08,-3.02285174e-11,3.62742209e-11
1.19100000e-08,1.19100000e-08,-3.02285174e-11,3.62742209e-11
1.19600000e-08,1.19600000e-08,-3.02285174e-11,3.62742209e-11
1.20100000e-08,1.20100000e-08,-3.02285174e-11,3.62742209e-11
1.20600000e-08,1.20600000e-08,-3.02285174e-11,3.62742209e-11
1.21100000e-08,1.21100000e-08,-3.02285174e-11,3.62742209e-11
1.21600000e-08,1.21600000e-08,-3.02285174e-11,3.62742209e-11
1.22100000e-08,1.22100000e-08,-3.02285174e-11,3.62742209e-11
1.22600000e-08,1.22600000e-08,-3.02285174e-11,3.62742209e-11
1.23100000e-08,1.23100000e-08,-3.02285174e-11,3.62742209e-11
1.23600000e-08,1.23600000e-08,-3.02285174e-11,3.62742209e-11
1.24100000e-08,1.24100000e-08,-3.02285174e-11,3.62742209e-11
1.24600000e-08,1.24600000e-08,-3.02285174e-11,3.62742209e-11
1.25100000e-08,1.25100000e-08,-3.02285174e-11,3.62742209e-11
1.25600000e-08,1.25600000e-08,-3.02285174e-11,3.62742209e-11
1.26100000e-08,1.26100000e-08,-3.02285174e-11,3.62742209e-11
1.26600000e-08,1.26600000e-08,-3.02285174e-11,3.62742209e-11
1.27100000e-08,1.27100000e-08,-3.02285174e-11,3.62742209e-11
1.27600000e-08,1.27600000e-08,-3.02285174e-11,3.62742209e-11
