Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)           V(_0_)            V(_1_)            V(_2_)      
2123     3.81100000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198118e-09    1.43198097e-09    1.19999999e+00    1.20000000e+00
2124     3.81300000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198099e-09    1.43198117e-09    1.19999999e+00    1.20000000e+00
2125     3.81500000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198118e-09    1.43198097e-09    1.19999999e+00    1.20000000e+00
2126     3.81700000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198099e-09    1.43198117e-09    1.19999999e+00    1.20000000e+00
2127     3.81900000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198118e-09    1.43198097e-09    1.19999999e+00    1.20000000e+00
2128     3.82100000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198099e-09    1.43198117e-09    1.19999999e+00    1.20000000e+00
2129     3.82300000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198118e-09    1.43198097e-09    1.19999999e+00    1.20000000e+00
2130     3.82500000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198099e-09    1.43198117e-09    1.19999999e+00    1.20000000e+00
2131     3.82700000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198118e-09    1.43198097e-09    1.19999999e+00    1.20000000e+00
2132     3.82900000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198099e-09    1.43198117e-09    1.19999999e+00    1.20000000e+00
2133     3.83100000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198118e-09    1.43198097e-09    1.19999999e+00    1.20000000e+00
2134     3.83300000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198099e-09    1.43198117e-09    1.19999999e+00    1.20000000e+00
2135     3.83500000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198118e-09    1.43198097e-09    1.19999999e+00    1.20000000e+00
2136     3.83700000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198099e-09    1.43198117e-09    1.19999999e+00    1.20000000e+00
2137     3.83900000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198118e-09    1.43198097e-09    1.19999999e+00    1.20000000e+00
2138     3.84100000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198099e-09    1.43198117e-09    1.19999999e+00    1.20000000e+00
2139     3.84300000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198118e-09    1.43198097e-09    1.19999999e+00    1.20000000e+00
2140     3.84500000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198099e-09    1.43198117e-09    1.19999999e+00    1.20000000e+00
2141     3.84700000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198118e-09    1.43198097e-09    1.19999999e+00    1.20000000e+00
2142     3.84900000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198099e-09    1.43198117e-09    1.19999999e+00    1.20000000e+00
2143     3.85100000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198118e-09    1.43198097e-09    1.19999999e+00    1.20000000e+00
2144     3.85300000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198099e-09    1.43198117e-09    1.19999999e+00    1.20000000e+00
2145     3.85500000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198118e-09    1.43198097e-09    1.19999999e+00    1.20000000e+00
2146     3.85700000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198099e-09    1.43198117e-09    1.19999999e+00    1.20000000e+00
2147     3.85900000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198118e-09    1.43198097e-09    1.19999999e+00    1.20000000e+00
2148     3.86100000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198099e-09    1.43198117e-09    1.19999999e+00    1.20000000e+00
2149     3.86300000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198118e-09    1.43198097e-09    1.19999999e+00    1.20000000e+00
2150     3.86500000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198099e-09    1.43198117e-09    1.19999999e+00    1.20000000e+00
2151     3.86700000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198118e-09    1.43198097e-09    1.19999999e+00    1.20000000e+00
2152     3.86900000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198099e-09    1.43198117e-09    1.19999999e+00    1.20000000e+00
2153     3.87100000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198118e-09    1.43198097e-09    1.19999999e+00    1.20000000e+00
2154     3.87300000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198099e-09    1.43198117e-09    1.19999999e+00    1.20000000e+00
2155     3.87500000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198118e-09    1.43198097e-09    1.19999999e+00    1.20000000e+00
2156     3.87700000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198099e-09    1.43198117e-09    1.19999999e+00    1.20000000e+00
2157     3.87900000e-07    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.43198118e-09    1.43198097e-09    1.19999999e+00    1.20000000e+00
