TIME,V(_00_),V(_01_),V(_02_),V(_03_),V(_04_)
5.78125954e-12,3.84791848e-09,1.92395924e-09,6.02688275e-05,5.35370814e-01,1.22178233e-01
5.79102516e-12,3.85441834e-09,1.92720917e-09,6.49985248e-05,5.36272687e-01,1.22572852e-01
5.80079079e-12,3.86091819e-09,1.93045909e-09,6.99689095e-05,5.37174426e-01,1.22969929e-01
5.81055641e-12,3.86741804e-09,1.93370902e-09,7.51858880e-05,5.38076030e-01,1.23369461e-01
5.82032204e-12,3.87391789e-09,1.93695895e-09,8.06553602e-05,5.38977494e-01,1.23771444e-01
5.83008766e-12,3.88041774e-09,1.94020887e-09,8.63832193e-05,5.39878816e-01,1.24175872e-01
5.83985329e-12,3.88691759e-09,1.94345880e-09,9.23753516e-05,5.40779990e-01,1.24582741e-01
5.84961891e-12,3.89341745e-09,1.94670872e-09,9.86376365e-05,5.41681015e-01,1.24992047e-01
5.85938454e-12,3.89991730e-09,1.94995865e-09,1.05175946e-04,5.42581885e-01,1.25403785e-01
5.86915016e-12,3.90641715e-09,1.95320857e-09,1.11996146e-04,5.43482598e-01,1.25817949e-01
5.87891579e-12,3.91291700e-09,1.95645850e-09,1.19104092e-04,5.44383150e-01,1.26234536e-01
5.88868141e-12,3.91941685e-09,1.95970843e-09,1.26505636e-04,5.45283537e-01,1.26653540e-01
5.89844704e-12,3.92591670e-09,1.96295835e-09,1.34206619e-04,5.46183756e-01,1.27074957e-01
5.90821266e-12,3.93241655e-09,1.96620828e-09,1.42212875e-04,5.47083803e-01,1.27498780e-01
5.91797829e-12,3.93891641e-09,1.96945820e-09,1.50530231e-04,5.47983674e-01,1.27925005e-01
5.92774391e-12,3.94541626e-09,1.97270813e-09,1.59164505e-04,5.48883366e-01,1.28353626e-01
5.93750954e-12,3.95191611e-09,1.97595805e-09,1.68121506e-04,5.49782876e-01,1.28784639e-01
5.94727516e-12,3.95841596e-09,1.97920798e-09,1.77407035e-04,5.50682198e-01,1.29218037e-01
