state	MRED	PDP
7,7,7,5,4,2,2,7,7,6,6,2,6,6,0,6,7,7,7,7,6,7,7,7,5,1,0,7,7,5,7,3,5,6,6,6,7,7,7,5,5,4,5,4,7,7,7,6,0	0.000284	1276.623027
7,7,3,7,7,5,4,7,7,3,6,4,5,6,6,6,7,7,7,7,5,5,7,7,7,7,6,7,7,3,7,3,7,7,6,6,7,7,5,5,2,6,7,7,7,7,3,7,6	0.000607	1230.760193
7,7,3,3,7,7,4,7,7,3,6,4,5,6,6,6,7,7,7,7,6,5,7,7,7,7,6,7,7,7,7,3,7,7,5,6,7,7,7,7,5,4,5,4,7,7,7,7,7	0.000782	1226.008866
7,7,7,5,4,2,2,7,7,6,6,2,6,6,2,6,7,7,7,7,6,7,7,7,5,1,0,7,7,5,7,3,5,6,6,6,7,7,7,7,5,4,5,4,7,7,7,6,0	0.000287	1275.507673
7,7,7,5,4,4,2,7,7,6,6,2,6,6,1,6,7,7,7,7,6,7,7,7,7,4,0,7,7,5,7,3,5,6,6,6,7,7,7,7,5,4,5,4,7,7,7,6,0	0.000316	1269.941781
7,7,3,7,7,4,2,7,7,6,6,2,5,6,2,6,7,7,7,7,6,7,7,7,5,4,1,7,7,5,7,3,3,6,6,6,7,7,7,7,5,4,5,4,7,7,7,5,0	0.000367	1262.431402
7,7,3,7,7,4,2,7,7,3,6,2,5,6,2,6,7,7,7,7,6,7,7,7,5,4,0,7,7,5,7,3,3,6,6,6,7,7,7,7,5,4,5,4,7,7,7,5,0	0.000370	1261.872297
7,7,3,7,7,4,2,7,7,6,6,2,5,6,2,6,7,7,7,7,6,7,7,7,5,4,0,7,7,7,7,3,3,6,6,6,7,7,7,7,5,4,5,4,7,7,7,5,0	0.000372	1261.464708
7,7,3,7,7,4,2,7,7,3,6,2,5,6,1,6,7,7,7,7,6,7,7,7,5,4,0,7,7,5,7,3,3,6,6,6,7,7,7,7,5,4,5,4,7,7,7,5,0	0.000375	1261.286705
6,7,7,5,1,1,4,7,4,6,6,0,6,4,2,1,3,7,7,7,6,7,7,5,5,1,0,3,7,5,7,5,7,7,6,0,7,7,2,4,4,7,5,4,7,5,6,6,0	0.000199	1309.869874
7,7,3,7,7,4,4,7,7,6,6,2,5,6,2,6,7,7,7,7,6,7,7,7,5,4,0,7,7,7,7,3,3,6,6,6,7,7,7,7,5,4,5,4,7,7,7,5,0	0.000383	1260.199501
7,7,3,7,7,5,4,7,7,3,6,2,5,6,6,6,7,7,7,7,3,5,7,7,7,7,6,7,7,7,7,3,7,7,5,6,7,7,5,5,5,4,5,2,7,7,3,7,6	0.000575	1232.857276
7,7,7,3,3,7,4,7,3,3,6,3,5,6,6,6,7,7,7,7,6,5,7,7,7,7,6,7,7,7,7,3,7,7,7,7,7,7,5,7,5,4,5,4,7,1,4,7,7	0.001452	1220.696430
