Index       TIME              V(A)              V(C)              V(D)              V(S)             V(COUT)           V(_0_)            V(_1_)      
2671     1.29275000e-07    1.20000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124616e-09    1.19999998e+00    1.19999991e+00
2672     1.29325000e-07    1.20000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124629e-09    1.19999998e+00    1.19999992e+00
2673     1.29375000e-07    1.20000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124616e-09    1.19999998e+00    1.19999992e+00
2674     1.29425000e-07    1.20000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124628e-09    1.19999998e+00    1.19999992e+00
2675     1.29475000e-07    1.20000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124616e-09    1.19999998e+00    1.19999992e+00
2676     1.29525000e-07    1.20000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124628e-09    1.19999998e+00    1.19999992e+00
2677     1.29575000e-07    1.20000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124615e-09    1.19999998e+00    1.19999992e+00
2678     1.29625000e-07    1.20000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124628e-09    1.19999998e+00    1.19999992e+00
2679     1.29675000e-07    1.20000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124627e-09    1.19999998e+00    1.19999992e+00
2680     1.29725000e-07    1.20000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124634e-09    1.19999998e+00    1.19999992e+00
2681     1.29775000e-07    1.20000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124618e-09    1.19999998e+00    1.19999992e+00
2682     1.29825000e-07    1.20000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124629e-09    1.19999998e+00    1.19999992e+00
2683     1.29875000e-07    1.20000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124615e-09    1.19999998e+00    1.19999992e+00
2684     1.29925000e-07    1.20000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124628e-09    1.19999998e+00    1.19999992e+00
2685     1.29975000e-07    1.20000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124626e-09    1.19999998e+00    1.19999992e+00
2686     1.30000000e-07    1.20000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124633e-09    1.19999998e+00    1.19999992e+00
2687     1.30005000e-07    1.20000000e+00    0.00000000e+00    6.00000000e-04    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999992e+00
2688     1.30015000e-07    1.20000000e+00    0.00000000e+00    1.80000000e-03    1.20000000e+00    1.60124629e-09    1.19999998e+00    1.19999992e+00
2689     1.30035000e-07    1.20000000e+00    0.00000000e+00    4.20000000e-03    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999992e+00
2690     1.30075000e-07    1.20000000e+00    0.00000000e+00    9.00000000e-03    1.20000000e+00    1.60124631e-09    1.19999998e+00    1.19999992e+00
2691     1.30125000e-07    1.20000000e+00    0.00000000e+00    1.50000000e-02    1.20000000e+00    1.60124631e-09    1.19999998e+00    1.19999992e+00
2692     1.30175000e-07    1.20000000e+00    0.00000000e+00    2.10000000e-02    1.20000000e+00    1.60124631e-09    1.19999998e+00    1.19999992e+00
2693     1.30225000e-07    1.20000000e+00    0.00000000e+00    2.70000000e-02    1.20000000e+00    1.60124631e-09    1.19999998e+00    1.19999992e+00
2694     1.30275000e-07    1.20000000e+00    0.00000000e+00    3.30000000e-02    1.20000000e+00    1.60124631e-09    1.19999998e+00    1.19999992e+00
