Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)     
62       5.35157204e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.78096251e-09    4.30462054e-01
63       5.36133766e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.78421244e-09    4.31238291e-01
64       5.37110329e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.78746236e-09    4.32014217e-01
65       5.38086891e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.79071229e-09    4.32789829e-01
66       5.39063454e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.79396222e-09    4.33565123e-01
67       5.40040016e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.79721214e-09    4.34340098e-01
68       5.41016579e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.80046207e-09    4.35114751e-01
69       5.41993141e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.80371199e-09    4.35889079e-01
70       5.42969704e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.80696192e-09    4.36663080e-01
71       5.43946266e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.81021184e-09    4.37436751e-01
72       5.44922829e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.81346177e-09    4.38210089e-01
73       5.45899391e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.81671170e-09    4.38983092e-01
74       5.46875954e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.81996162e-09    4.39755757e-01
75       5.47852516e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.82321155e-09    4.40528081e-01
76       5.48829079e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.82646147e-09    4.41300063e-01
77       5.49805641e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.82971140e-09    4.42071698e-01
78       5.50782204e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.83296133e-09    4.42842985e-01
79       5.51758766e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.83621125e-09    4.43613921e-01
80       5.52735329e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.83946118e-09    4.44384503e-01
81       5.53711891e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.84271110e-09    4.45154729e-01
82       5.54688454e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.84596103e-09    4.45924596e-01
83       5.55665016e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.84921095e-09    4.46694101e-01
84       5.56641579e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.85246088e-09    4.47463241e-01
85       5.57618141e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.85571081e-09    4.48232015e-01
86       5.58594704e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.85896073e-09    4.49000419e-01
87       5.59571266e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.86221066e-09    4.49768450e-01
88       5.60547829e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.86546058e-09    4.50536107e-01
89       5.61524391e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.86871051e-09    4.51303385e-01
90       5.62500954e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.87196043e-09    4.52070284e-01
91       5.63477516e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.87521036e-09    4.52836799e-01
92       5.64454079e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.87846029e-09    4.53602929e-01
93       5.65430641e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.88171021e-09    4.54368671e-01
94       5.66407204e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.88496014e-09    4.55134021e-01
95       5.67383766e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.88821006e-09    4.55898978e-01
96       5.68360329e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.89145999e-09    4.56663538e-01
97       5.69336891e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.89470992e-09    4.57427700e-01
98       5.70313454e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.89795984e-09    4.58191460e-01
99       5.71290016e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.90120977e-09    4.58954816e-01
100      5.72266579e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.90445969e-09    4.59717764e-01
101      5.73243141e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.90770962e-09    4.60480303e-01
102      5.74219704e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.91095954e-09    4.61242430e-01
103      5.75196266e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.91420947e-09    4.62004142e-01
104      5.76172829e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.91745940e-09    4.62765436e-01
105      5.77149391e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.92070932e-09    4.63526311e-01
106      5.78125954e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.92395925e-09    4.64286762e-01
107      5.79102516e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.92720917e-09    4.65046788e-01
108      5.80079079e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.93045910e-09    4.65806385e-01
109      5.81055641e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.93370902e-09    4.66565552e-01
