TIME,TIME,I(VDD),{V(VDD)*I(VDD)},{-V(VDD)*I(VDD)}
5.85435902e-09,5.85435902e-09,-1.30529166e-04,-1.56634999e-04,1.56634999e-04
5.86634570e-09,5.86634570e-09,-4.31254722e-05,-5.17505667e-05,5.17505667e-05
5.87833238e-09,5.87833238e-09,-1.29888820e-05,-1.55866584e-05,1.55866584e-05
5.89031905e-09,5.89031905e-09,-5.58316799e-06,-6.69980158e-06,6.69980158e-06
5.91429241e-09,5.91429241e-09,-2.35277216e-06,-2.82332659e-06,2.82332659e-06
5.93826577e-09,5.93826577e-09,-1.75930491e-06,-2.11116590e-06,2.11116590e-06
5.98621249e-09,5.98621249e-09,-8.62225375e-07,-1.03467045e-06,1.03467045e-06
6.03621249e-09,6.03621249e-09,-5.62708010e-07,-6.75249612e-07,6.75249612e-07
6.08621249e-09,6.08621249e-09,-3.59425613e-07,-4.31310735e-07,4.31310735e-07
6.13621249e-09,6.13621249e-09,-2.70776678e-07,-3.24932013e-07,3.24932013e-07
6.18621249e-09,6.18621249e-09,-1.98513333e-07,-2.38216000e-07,2.38216000e-07
6.23621249e-09,6.23621249e-09,-1.58779146e-07,-1.90534975e-07,1.90534975e-07
6.28621249e-09,6.28621249e-09,-1.25932824e-07,-1.51119388e-07,1.51119388e-07
6.33621249e-09,6.33621249e-09,-1.04433012e-07,-1.25319614e-07,1.25319614e-07
6.38621249e-09,6.38621249e-09,-8.69084087e-08,-1.04290090e-07,1.04290090e-07
6.43621249e-09,6.43621249e-09,-7.39887545e-08,-8.87865054e-08,8.87865054e-08
6.48621249e-09,6.48621249e-09,-6.35364051e-08,-7.62436861e-08,7.62436861e-08
6.53621249e-09,6.53621249e-09,-5.51984933e-08,-6.62381920e-08,6.62381920e-08
6.58621249e-09,6.58621249e-09,-4.84551805e-08,-5.81462165e-08,5.81462165e-08
6.63621249e-09,6.63621249e-09,-4.27714969e-08,-5.13257963e-08,5.13257963e-08
6.68621249e-09,6.68621249e-09,-3.81687994e-08,-4.58025593e-08,4.58025593e-08
6.73621249e-09,6.73621249e-09,-3.41191035e-08,-4.09429242e-08,4.09429242e-08
6.78621249e-09,6.78621249e-09,-3.08436906e-08,-3.70124287e-08,3.70124287e-08
6.83621249e-09,6.83621249e-09,-2.78505681e-08,-3.34206817e-08,3.34206817e-08
6.88621249e-09,6.88621249e-09,-2.54442347e-08,-3.05330816e-08,3.05330816e-08
6.93621249e-09,6.93621249e-09,-2.31629150e-08,-2.77954980e-08,2.77954980e-08
