TIME,TIME,I(VDD),{V(VDD)*I(VDD)},{-V(VDD)*I(VDD)}
5.81604894e-08,5.81604894e-08,-9.99186527e-06,-1.19902383e-05,1.19902383e-05
5.82270661e-08,5.82270661e-08,-9.64561585e-06,-1.15747390e-05,1.15747390e-05
5.82936428e-08,5.82936428e-08,-8.61895320e-06,-1.03427438e-05,1.03427438e-05
5.83602195e-08,5.83602195e-08,-7.55046666e-06,-9.06055999e-06,9.06055999e-06
5.84267961e-08,5.84267961e-08,-6.55266321e-06,-7.86319585e-06,7.86319585e-06
5.84933728e-08,5.84933728e-08,-5.62554444e-06,-6.75065333e-06,6.75065333e-06
5.85599495e-08,5.85599495e-08,-4.76910878e-06,-5.72293053e-06,5.72293053e-06
5.86265262e-08,5.86265262e-08,-3.98335779e-06,-4.78002935e-06,4.78002935e-06
5.86931029e-08,5.86931029e-08,-3.26828990e-06,-3.92194788e-06,3.92194788e-06
5.87596796e-08,5.87596796e-08,-1.04379048e-05,-1.25254857e-05,1.25254857e-05
5.87656566e-08,5.87656566e-08,-1.20476980e-05,-1.44572376e-05,1.44572376e-05
5.87776107e-08,5.87776107e-08,-1.57840873e-05,-1.89409048e-05,1.89409048e-05
5.87895648e-08,5.87895648e-08,-2.02528231e-05,-2.43033877e-05,2.43033877e-05
5.88015189e-08,5.88015189e-08,-2.54855612e-05,-3.05826735e-05,3.05826735e-05
5.88134730e-08,5.88134730e-08,-3.15143279e-05,-3.78171935e-05,3.78171935e-05
5.88254270e-08,5.88254270e-08,-3.83715129e-05,-4.60458154e-05,4.60458154e-05
5.88373811e-08,5.88373811e-08,-4.60898639e-05,-5.53078367e-05,5.53078367e-05
5.88493352e-08,5.88493352e-08,-5.48016763e-05,-6.57620116e-05,6.57620116e-05
5.88612893e-08,5.88612893e-08,-6.48187598e-05,-7.77825117e-05,7.77825117e-05
5.88732434e-08,5.88732434e-08,-7.62165084e-05,-9.14598100e-05,9.14598100e-05
5.88851975e-08,5.88851975e-08,-8.93309680e-05,-1.07197162e-04,1.07197162e-04
5.88971516e-08,5.88971516e-08,-1.03854216e-04,-1.24625060e-04,1.24625060e-04
5.88985097e-08,5.88985097e-08,-1.05162026e-04,-1.26194431e-04,1.26194431e-04
5.88998679e-08,5.88998679e-08,-1.06912045e-04,-1.28294454e-04,1.28294454e-04
5.89025843e-08,5.89025843e-08,-1.10480425e-04,-1.32576510e-04,1.32576510e-04
5.89053006e-08,5.89053006e-08,-1.14133887e-04,-1.36960664e-04,1.36960664e-04
5.89080170e-08,5.89080170e-08,-1.17873615e-04,-1.41448338e-04,1.41448338e-04
5.89107334e-08,5.89107334e-08,-1.18944146e-04,-1.42732975e-04,1.42732975e-04
